Comment,Emotion,Clean_Comment
i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,fear,never realized awful mother feeling lack energy independence operation wimpy tired
i feel insulted by this that he doesnt even respect me enough to let me know hes not coming not until i indicated i was going to bed,anger,feel insulted doesnt even respect enough let know he coming indicated going bed
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear,told continues fact feel fear frightened correction terrified next
im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger,im quite sure feeling specially nothing hostile
i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,joy,feeling jeremy going keen vinegary smell callus giving right
i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger,worked computer tech ability hyper focus one issue real asset however living day day get bogged feel frustrated making progress focused one problem
i may resurrect when im feeling more generous i did an all too lengthy series on a history of my celebrity crushes,joy,may resurrect im feeling generous lengthy series history celebrity crush
i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy,told asian considerate whenever person feeling well would common courtesy wear mask reduce risk spreading people around u
im feeling anxious all im really trying to do is project the exact opposite,fear,im feeling anxious im really trying project exact opposite
id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know,joy,id tell feel cede control life way prevent doomnation extremely clever play damnation know
i feel hated and isolated but it doesn t hurt,anger,feel hated isolated hurt
i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,fear,cannot feel strange sadness thing ready cannot
i used feel frustrated all the time,anger,used feel frustrated time
i thought about it later feeling anxious and worried,fear,thought later feeling anxious worried
i might start feeling nervous tomorrow but im not sure,fear,might start feeling nervous tomorrow im sure
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger,got amazing news tracy today final cover chapter wonder feeling rushed seemed didnt enough time
i was feeling quite nervous,fear,feeling quite nervous
i feel angered and firey,anger,feel angered firey
i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger,feel petty getting worked stuff thats really whats made way
i feel my children are in harms way i feel frightened,fear,feel child harm way feel frightened
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy,still able remember single dull moment detail pissed thing didnt feel comfortable
i questioned myself wondering why didnt i feel jubilant,joy,questioned wondering didnt feel jubilant
i love gives me a great feeling of contented accomplishment,joy,love give great feeling contented accomplishment
i mean how would you feel if euan got hauled in for murder but you knew he was innocent,joy,mean would feel euan got hauled murder knew innocent
i always got the feeling she hated me,anger,always got feeling hated
i am feeling very restless irritable and discontent,fear,feeling restless irritable discontent
i ended the episode feeling really pissed,anger,ended episode feeling really pissed
i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch,anger,would guilty conscience would feel like heartless bitch
i closed her eyes in anger and feeling disgusted by this touch,anger,closed eye anger feeling disgusted touch
i was feeling out of sorts anxious not sure what to do with myself,fear,feeling sort anxious sure
i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said,anger,feel team pretty dangerous playoff york left wing ruslan fedotenko note said
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger,feel really petty moment extremely angry im broke moment sort piss
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,fear,drove away today feeling overwhelmed news heard trillion time news heart know already
i feel like thats a cop out having safe people,joy,feel like thats cop safe people
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger,feel tortured looking lecture note nothing going except holiday plan
i think i was right to feel insulted,anger,think right feel insulted
when i had a serious argument with a dear person,anger,serious argument dear person
i asked myself why do you feel frightened of being,fear,asked feel frightened
i am feeling a little grumpy but that could be pms too,anger,feeling little grumpy could pm
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear,feel like want stop think wimpy muscle less sister tough mudder
im here to tell you you arent alone if you feel vulnerable,fear,im tell arent alone feel vulnerable
i think i almost made my counsellor cry yesterday because i said it feels like i dont have anyone supporting me,joy,think almost made counsellor cry yesterday said feel like dont anyone supporting
i feel a bit shaken though,fear,feel bit shaken though
i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger,used feel music gone replaced bitter taste mouth lot sadness
i kind of struggled with it though and didnt feel like it was super powerful,joy,kind struggled though didnt feel like super powerful
i feel now so uncomfortable with all of them i guess is me,fear,feel uncomfortable guess
i sometimes feel i am being stubborn not out of spite but rather in spite of myself,anger,sometimes feel stubborn spite rather spite
i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc,fear,visited psychologist year ago really took heart said closing letting others know feel uncomfortable etc
i feel hated by jim martin s,anger,feel hated jim martin
i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,anger,feel thigh stubborn going away rate stomach arm butt
i feel you are very charming but do the other people feel very terrible,joy,feel charming people feel terrible
i feel that we are often at the forefront of what soon becomes popular,joy,feel often forefront soon becomes popular
i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,fear,private person although going anything personal feeling anxious writing
i felt afraid just before receiving the question paper of the part ii exam,fear,felt afraid receiving question paper part ii exam
i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser,joy,feel thankful rel bookmark day feel thankful posted href http babychaser
i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy,ready cry feel sweet presence ruach hakodesh holy spirit room right
i feel compassion for them and understand why they feel insecure,fear,feel compassion understand feel insecure
i think whenever we moved to a new place i had to find some way to feel accepted,joy,think whenever moved new place find way feel accepted
i feel more irritable and i feel more sensible now than ever,anger,feel irritable feel sensible ever
i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger,feeling resentful choice choose thing differently next time even change choice
i am going to feel annoyed with myself,anger,going feel annoyed
i could be really screwed just on waiting for a sitter so i was feeling stressed,anger,could really screwed waiting sitter feeling stressed
i feel rather petty that i just dont have time to have someone talented like christine make it,anger,feel rather petty dont time someone talented like christine make
i was feeling pretty terrified full of nervous energy,fear,feeling pretty terrified full nervous energy
i feel assured that it was the right answer,joy,feel assured right answer
i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger,try explaining feeling someone dismisses blindly feel frustrated disinterested discussing opinion cannot put place know experienced living
im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said,joy,im sure energy trying sew race dubai competing fedex cup taken maybe thought feeling ok physically mentally feel really tired said
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy,want feel safe well maybe maybe there small chance feel joy dream come true
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger,acquainted sleep feel like name ensure im rude maybe name already
i feeling shy,fear,feeling shy
i feel tortured by this thought but it feels so true,fear,feel tortured thought feel true
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger,feel petty moaning annoying im keeping stuff bag room ask always say im keeping stop bathroom getting cluttered
i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,feel pretty mellow far whatever healing wounding process may getting underway
i didn t feel alarmed at all,fear,feel alarmed
i do not worry about every nuance of my day and its presentation to others less little things to worry about and that makes me feel less neurotic overall and less likely to trigger psychotic episodes as well,fear,worry every nuance day presentation others less little thing worry make feel less neurotic overall less likely trigger psychotic episode well
i have lost kg and feeling fab,joy,lost kg feeling fab
i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based,joy,said sir feel real time company experience mba would valuable career gate since work day company support based
i know we create our own destiny but do you ever feel resentful for the way your life turned out,anger,know create destiny ever feel resentful way life turned
i can feel the amused smile that tugs at my lips,joy,feel amused smile tug lip
i have the right to feel jealous naman to think na theres no us to begin with,anger,right feel jealous naman think na there u begin
i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,joy,thinking negatively thing often feeling benign actually excited anticipation
i do not however feel in any way hostile to anyone or capable of violence,anger,however feel way hostile anyone capable violence
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger,empty disappointed angry sad chaotic destructive feel today im mad always fuck shit
i feel shaken and scared,fear,feel shaken scared
i consulted my aunt a doctor partially because i wanted counsel without copay but mostly because i had a feeling my doctors would be skeptical,fear,consulted aunt doctor partially wanted counsel without copay mostly feeling doctor would skeptical
i feel about them i still end up nervous and have those naughty butterflies flying around my stomach,fear,feel still end nervous naughty butterfly flying around stomach
i was feeling mad,anger,feeling mad
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger,using vent ugly feeling vicious nasty rather deal like adult
i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for,joy,feel lucky nice able buy lovely resource little one care
i know at least one other person besides myself was feeling nervous and anxious about getting started,fear,know least one person besides feeling nervous anxious getting started
i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it,fear,feel uptight know hate constantly trying catch glimpse tv window listen
i didnt feel much like me but thats largely resolved itself,joy,didnt feel much like thats largely resolved
i want or need to hear to make me feel valued,joy,want need hear make feel valued
im feeling indecisive and it scares me,fear,im feeling indecisive scare
i feel this is very dangerous,anger,feel dangerous
i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement,joy,could feel peace welcomed week packing saying good bye dealing overwhelming feeling displacement
i alba i feel good and im fitting in,joy,alba feel good im fitting
i feel like the most hated person on the planet for turning brendon down,anger,feel like hated person planet turning brendon
i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy,came place base wasnt feeling like wander far afield wish adventurous heard wonderful thing salon
im feeling rebellious and need to do something to relieve some of the turmoil in my body,anger,im feeling rebellious need something relieve turmoil body
i was feeling so spiteful i brought it up and i saw the hurt in his face,anger,feeling spiteful brought saw hurt face
i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough,fear,get past feeling friend walk life unsure feeling valued important enough
i feel ok lol,joy,feel ok lol
i dont know why but i feel emotionally assaulted by this fact,fear,dont know feel emotionally assaulted fact
i feel friendly when i hate you,joy,feel friendly hate
im feeling a little gun shy about this,fear,im feeling little gun shy
i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,hope feel bit creative soon miss presence life blog
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,anger,resent much feel needlessly unreasonably angry whenever around slightest idiosyncrasy make sick
i know you cant just ged rid of your feelings but seriously i dont see your parents supporting you dating a guy who s their age,joy,know cant ged rid feeling seriously dont see parent supporting dating guy age
im feeling very hopeful about that and this seems like a good time for me to switch doctors too,joy,im feeling hopeful seems like good time switch doctor
i think nicely sums up the feeling of talking too much about artistic pursuits,joy,think nicely sum feeling talking much artistic pursuit
i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,fear,could almost feel flame singed tortured frail delicate body leaving nothing behind foul smelling concoction wood burnt flesh
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger,ive spent last half hour feeling ridiculously angry insensitive comment partner changed minute ago real pride much changed
i feel like a proud mother watching their child grow and develop into an adult and quite seriously my business is like a child to me,joy,feel like proud mother watching child grow develop adult quite seriously business like child
i was feeling really frantic i knew i had to find james there too,fear,feeling really frantic knew find james
i just woke up from my nap and i feel extremely agitated and grumpy,fear,woke nap feel extremely agitated grumpy
i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well,joy,know tried new character yet universe feel much lively began hoping true new character well
i feel that some violent natures are generic,anger,feel violent nature generic
when people harrass me i feel oppressed by their behavior,anger,people harrass feel oppressed behavior
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,fear,bet taylor swift basks knowledge boy writes song probably feel tortured
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,couple thing left make start december done feeling smug
i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear,havent exactly gone spin around block yet since id feel strange strapping teddy bear place baby look nice sturdy like trick
i start to feel unsure,fear,start feel unsure
i feel apprehensive while opening the blue door,fear,feel apprehensive opening blue door
i feel uncertain about something i will act in a more positive and powerful way,fear,feel uncertain something act positive powerful way
i know you contributed to my success but i am just feeling petty enough today to ignore those contributions,anger,know contributed success feeling petty enough today ignore contribution
when i happen to witness some sadistic acts,anger,happen witness sadistic act
i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger,hope see feel mad glint eye madness pathological curiosity needed
i don t know if i have told this to you but i feel intimidated by how smart you are,fear,know told feel intimidated smart
i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,fear,want tell im feeling dont know start want tell everything im afraid youll break heart would something easy hard
i just need to express my feeling badly ignore this if i offended you,anger,need express feeling badly ignore offended
i feel you i can t take more than mg of seroquel either because the restless leg syndrome keeps me awake all night,fear,feel take mg seroquel either restless leg syndrome keep awake night
im just really hurting and feeling a bit overwhelmed,fear,im really hurting feeling bit overwhelmed
i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy,feel entirely free express way feel surroundings life myriad experience continue make
my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,fear,mother come home till late night age ago anyway dont know parent theyll back start thinking perhaps accident perhaps dead
i feel so overwhelmed im nauseous,fear,feel overwhelmed im nauseous
i feel like im selfish,anger,feel like im selfish
i feel like i m a very very dangerous human being right now,anger,feel like dangerous human right
im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy,im taking advantage feeling artistic incase run away bell baby day yay
i manage to reach a conclusion after all my musings i feel somehow more resolved,joy,manage reach conclusion musing feel somehow resolved
i feel heartless now feeling bored and not believe in love anymore,anger,feel heartless feeling bored believe love anymore
i feel bashful under his teasing scrutiny,fear,feel bashful teasing scrutiny
i doing something that make you feel bothered,anger,something make feel bothered
i don t want to cry either because i know she ll think i feel tortured having to eat the black part of the rice,anger,want cry either know think feel tortured eat black part rice
i feel greedy and selfish,anger,feel greedy selfish
i feel so invigorated so focused about what im being led to pursue right now and in the future,joy,feel invigorated focused im led pursue right future
i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works,fear,feel shy people reading writing brother sister would see real life work
i feel so violent but im a paper tiger,anger,feel violent im paper tiger
i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,joy,feel like try calm shes good since game ended see katniss getting tense every schedule adjustment
i feel especially vulnerable to being treated as a second class citizen,fear,feel especially vulnerable treated second class citizen
i could feel that the person was pissed at me because that person didnt understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah,anger,could feel person pissed person didnt understand trying say personal attack asking whats nationality giving shit face blah blah
i remember two specific things from that class feeling terrified of my teacher who would repeat the same question in spanish with increasing volume until his victim either managed to answer correctly or ran away screaming and feeling distracted by the cute boy who helped me study for tests,fear,remember two specific thing class feeling terrified teacher would repeat question spanish increasing volume victim either managed answer correctly ran away screaming feeling distracted cute boy helped study test
i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too,fear,love ted talk feel intimidated inspired greater great found simplicity
i know tv isnt everyones cup of tea so if that includes you feel free to scroll down a bit,joy,know tv isnt everyones cup tea includes feel free scroll bit
i still feel a bit overwhelmed,fear,still feel bit overwhelmed
ive been hanging around younger people and when i am with them i feel like im but when i see the photos of us together i am suddenly shaken to see just how old i look,fear,ive hanging around younger people feel like im see photo u together suddenly shaken see old look
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy,im feeling invigorated ready whats ahead excited share information
i feel so honored to know all of you,joy,feel honored know
i have a feeling i may be popular with the lady folk,joy,feeling may popular lady folk
i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all,anger,feel people encounter day rude mean reason
i feel so tranquil right now its great,joy,feel tranquil right great
i put up my christmas tree and im feeling fairly festive,joy,put christmas tree im feeling fairly festive
i feel like i should have some wine or something i was amused,joy,feel like wine something amused
i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear,feel quite nervous scared x scared co ill taking plane back singapore co cant stay long two friend planned
i feel like i shouldnt have even bothered,anger,feel like shouldnt even bothered
i think most people have little problem expressing but once in a while i can t help but feel that we shouldn t be afraid to let it all hang out there and express the other emotions that don t get nearly as much airtime,fear,think people little problem expressing help feel afraid let hang express emotion get nearly much airtime
i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear,know believe feel part still hesitant old would said anyone believed god crazy
i sometimes feel so vulnerable and so lost,fear,sometimes feel vulnerable lost
i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others,fear,feel uncertain similar family reached uncertainty preclude u serving meantime discovering way reach others
i am saying that i am feeling helpless now that i have to walk on toes,fear,saying feeling helpless walk toe
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear,feel like someone strange uncle trying break ice party showing amazing talent thinking guest impressed turn made everything hundred time awkward
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger,always feeling shape became increasingly frustrated daily accumulation body fat elusive
i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy,feel amused different debate going hand felt there something missing
i feel like i can breath now and not be so rushed,anger,feel like breath rushed
i lived her life without the feeling of acceptance she felt as though trouble and misery followed her everywhere she went and that everyone hated her because of it,anger,lived life without feeling acceptance felt though trouble misery followed everywhere went everyone hated
im still feeling a little shaky as i write this post,fear,im still feeling little shaky write post
ive been feeling restless in my career,fear,ive feeling restless career
i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away,anger,give probably degree might see much feel taken advantage wronged sense absolutely problem shutting walking away
im feeling irritated by her friggin name,anger,im feeling irritated friggin name
i was a child i stole rmb from my grandfather maternal and i feel i exceptionally wronged him,anger,child stole rmb grandfather maternal feel exceptionally wronged
im feeling queezy and cant be bothered putting these in order so here goes,anger,im feeling queezy cant bothered putting order go
i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger,feel like dangerous animal prowl jungle onto warm sand deserted island
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress,anger,know signifies feeling dangerous secure relaxed guess causing undue stress
i look back and i feel so incredibly satisfied with my life refreshed ready for my next adventure,joy,look back feel incredibly satisfied life refreshed ready next adventure
i remember feeling so hellip furious with the shooter,anger,remember feeling hellip furious shooter
i do not want to accept that it s inevitable that we all become grumpy old men and women as we age and i do not want to accept that feeling irritated and annoyed by trivial little things is normal,anger,want accept inevitable become grumpy old men woman age want accept feeling irritated annoyed trivial little thing normal
i feel i should probably move on to the meat of my story before i get too distracted by the side dishes what happened to good music,anger,feel probably move meat story get distracted side dish happened good music
i get nothing and i really want to feel like if someone likes me for who i am not for my stubborn sister,anger,get nothing really want feel like someone like stubborn sister
i reached down to feel what that strange sensation was and i felt something there,fear,reached feel strange sensation felt something
ill smoke a few cigarettes because im feeling a little nervous,fear,ill smoke cigarette im feeling little nervous
i am feeling increasingly hopeful,joy,feeling increasingly hopeful
i don t a feel like an idiot and b not get illogically mad at people for going to bed too early sorry for the anger family,anger,feel like idiot b get illogically mad people going bed early sorry anger family
im feeling rather impatient with these rainbows bursting in my veins,anger,im feeling rather impatient rainbow bursting vein
id be more use at that level which would make the job feel more worthwhile and the season is basically half as long,joy,id use level would make job feel worthwhile season basically half long
i male are stupid first for woman cry babies and should get over it and you feel really cool for putting the stupid men in their place,joy,male stupid first woman cry baby get feel really cool putting stupid men place
i feel disgusted c kj rel bookmark class permalink nov middot,anger,feel disgusted c kj rel bookmark class permalink nov middot
i guess the trick is i need to go in strong and get what i want and not feel bashful over it,fear,guess trick need go strong get want feel bashful
i do not feel frantic,fear,feel frantic
i feel like a total bitchy person today yay,anger,feel like total bitchy person today yay
i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger,always plant big section lettuce leave open pesky bunny feel rebellious raiding garden
i was feeling very unsure as to whether or not i should continue to blog at all,fear,feeling unsure whether continue blog
i haven t been able to shake this akward and unusual feeling i feel irritable and space out all the time feels like i was surged as well as my computer,anger,able shake akward unusual feeling feel irritable space time feel like surged well computer
i am now drunk again and feel fab,joy,drunk feel fab
i am feeling a little uncertain as i am waiting to hear from my land lady to confirm a date and receive my contract,fear,feeling little uncertain waiting hear land lady confirm date receive contract
i feel strange coming back to work after my one day holiday,fear,feel strange coming back work one day holiday
i feel so lucky to have the opportunity to be here,joy,feel lucky opportunity
i was escorting a relative on a bike,fear,escorting relative bike
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy,im necessarily sure something education system must change student feel anxiety pressure needing flawless vast knowledge world
i needed to feel rebellious,anger,needed feel rebellious
i didnt tell you because i didnt want you to feel afraid,fear,didnt tell didnt want feel afraid
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,joy,feel comfortable staying house feel relentless im asked something tired almost time bored without money
i may not be rich by material standards but i feel very rich because i am grateful for what i have,joy,may rich material standard feel rich grateful
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger,im also feeling cranky main character scientist brother observing moon mention zero gravity
i did feel a little less inhibited in class tonight,fear,feel little less inhibited class tonight
i am suddenly feeling very energetic,joy,suddenly feeling energetic
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,anger,bit bouncier usual didnt feel grouchy everything normal
i think i can finally articulate it the prius is in its own shiny happy al gore wearing patagonia in alaska way somewhat insidious in that it makes driving feel like a virtuous act,joy,think finally articulate prius shiny happy al gore wearing patagonia alaska way somewhat insidious make driving feel like virtuous act
im feeling irritable and sick,anger,im feeling irritable sick
i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed,anger,came home one day discovered sister borrowed car gotten accident entire front bumper destroyed
i feel somewhat alarmed,fear,feel somewhat alarmed
i have written but you feel the need to point out that someone somewhere could be offended if they were to read my words out of context knowing nothing about me and after having a really bad day do not bother to inform me of this,anger,written feel need point someone somewhere could offended read word context knowing nothing really bad day bother inform
i was left feeling bothered by it for a long time afterwards,anger,left feeling bothered long time afterwards
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom,anger,feel like could dangerous topic anyone feel passionately piano mind thought worth discussing im going paint piano grew please stop hyperventilating mom
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger,know easy twist thing create explanation im still sure one help feel little less mad
i feel very dissatisfied with myself,anger,feel dissatisfied
i cough alot more and feel somewhat irritable at times,anger,cough alot feel somewhat irritable time
i feel like this concert was much more successful than the previous one,joy,feel like concert much successful previous one
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,fear,feel strange weird entire struggle one deal kind conflict
i got inside it was so warm compared to the outside temp that my survivor man skills kicked in and i stripped down to my base layers to avoid feeling cold when i got back outside,anger,got inside warm compared outside temp survivor man skill kicked stripped base layer avoid feeling cold got back outside
im feeling at my creative best rather than that of a student who has a deadline to meet,joy,im feeling creative best rather student deadline meet
ive been feeling a little frantic recently because our summer together is flying by so quickly,fear,ive feeling little frantic recently summer together flying quickly
i mean geez cara was raised not to feel compassion she had all love and feeling tortured and beaten from her at a very young age thats how the mord sith work,anger,mean geez cara raised feel compassion love feeling tortured beaten young age thats mord sith work
i am sharing information that i feel is important to personal safety and empowerment parenting and living well,joy,sharing information feel important personal safety empowerment parenting living well
i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy,try remember quote feel may hitting wall marathon even training run know time find perfect song fuel
i am feeling a little adventurous so i will try to see if we can spook our pretty lady,joy,feeling little adventurous try see spook pretty lady
i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,joy,randomly talking found feeling cd listened quite eager watch show
i met people from every corner of the globe so now when i am feeling restless and my finances will allow me i am can pick a spot see people that i really care about and have an adventure with them in their homelands,fear,met people every corner globe feeling restless finance allow pick spot see people really care adventure homeland
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy,would truly express utter gratitude thankfulness feel sincere gesture grateful
i feel scared rather than curl up like a threatened porcupine,fear,feel scared rather curl like threatened porcupine
i feel no matter how convinced i am that i am all alone on this life journey of mine i am not alone,joy,feel matter convinced alone life journey mine alone
i am writing this i remember between feeling assured i wasnt dead and checking the window that me and my mom started fighting,joy,writing remember feeling assured wasnt dead checking window mom started fighting
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear,feel intimidated like want turn around head back safety yoga class hop tried trusty treadmill
i write and share my feelings family events useful products good food exciting trips kitchen endeavors as well as occasional musings,joy,write share feeling family event useful product good food exciting trip kitchen endeavor well occasional musing
i this feels rebellious to me,anger,feel rebellious
i remember a totally different feel having been a faithful dukes watcher growing up,joy,remember totally different feel faithful duke watcher growing
im feeling confused but ill keep trudging through,fear,im feeling confused ill keep trudging
i got my eyebrows waxed the other day and i feel glamorous,joy,got eyebrow waxed day feel glamorous
i seriously feel uncomfortable,fear,seriously feel uncomfortable
i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,joy,learnt nothing else last two year best feel way trusting instinct
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,joy,go detail long night woke bus feeling like could barely stand trusting pit stomach
im creature of feelings i evaluate life on my feelings dangerous,anger,im creature feeling evaluate life feeling dangerous
i kept feeling enraged that she was in too,anger,kept feeling enraged
i feel a bit hesitant about the whole thing given my past two experiences and the fact that i m going to start a new novel while i work on my current wip because i feel like it would be cheating to count the words on my current wip even though i m only about words into it,fear,feel bit hesitant whole thing given past two experience fact going start new novel work current wip feel like would cheating count word current wip even though word
i wanted to not feel frightened anymore,fear,wanted feel frightened anymore
i can stop feeling jealous,anger,stop feeling jealous
ive been feeling very indecisive lately,fear,ive feeling indecisive lately
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi,anger,didnt even time feel jealous busy pinning picture writing href http nanashi
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear,feel suspicious cant walk way like always thing football player know ive
i was feeling anything but adventurous and stuck with comfort zone and ordered mcdonalds,joy,feeling anything adventurous stuck comfort zone ordered mcdonalds
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face
i remember waking up feeling anxious and excited to read the bible its amazing how god will change your desires,fear,remember waking feeling anxious excited read bible amazing god change desire
i feel like im in a really strange stage of my life right now as im entering my th year,fear,feel like im really strange stage life right im entering th year
i suddenly feel anxious im crying over little things,fear,suddenly feel anxious im cry little thing
i was also feeling anxious around some of the people sitting in the waiting area,fear,also feeling anxious around people sitting waiting area
